Region;Happiness Rank;Happiness Score;Standard Error;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual
Middle East and Northern Africa;112;4.677;0.05232;0.98549;0.81889;0.60237;0;0.13788;0.17922;195.335
Sub-Saharan Africa;113;4.642;0.04585;0.92049;118.468;0.27688;0.33207;0.08884;0.11973;171.956
Sub-Saharan Africa;114;4.633;0.04742;0.54558;0.67954;0.40132;0.42342;0.04355;0.23087;230.919
Sub-Saharan Africa;115;4.61;0.0429;0.271;103.276;0.33475;0.25861;0.08079;0.18987;244.191
Sub-Saharan Africa;116;4.571;0.11068;0.0712;0.78968;0.34201;0.28531;0.06232;0.24362;277.729
Southern Asia;117;4.565;0.02043;0.64499;0.38174;0.51529;0.39786;0.08492;0.26475;227.513
Sub-Saharan Africa;118;4.55;0.0674;0.52107;101.404;0.36878;0.10081;0.1466;0.19062;220.857
Latin America and Caribbean;119;4.518;0.07331;0.26673;0.74302;0.38847;0.24425;0.17175;0.46187;224.173
Sub-Saharan Africa;120;4.517;0.0368;0;10.012;0.09806;0.22605;0.07625;0.24834;286.712
Southern Asia;121;4.514;0.03607;0.35997;0.86449;0.56874;0.38282;0.05907;0.32296;195.637
Sub-Saharan Africa;122;4.512;0.0378;0.19073;0.60406;0.44055;0.4345;0.15048;0.24325;244.876
Sub-Saharan Africa;123;4.507;0.07068;0.33024;0.95571;0;0.4084;0.08786;0.21488;251.009
Sub-Saharan Africa;124;4.436;0.03947;0.45407;0.86908;0.35874;0.24232;0.17461;0.219;211.773
Sub-Saharan Africa;125;4.419;0.04734;0.36471;0.99876;0.41435;0.42215;0.05839;0.37542;178.555
Sub-Saharan Africa;126;4.369;0.08096;0.44025;0.59207;0.36291;0.46074;0.28105;0.18093;205.125
Central and Eastern Europe;127;4.35;0.04763;0.76821;0.77711;0.7299;0.19847;0.039;0.07855;175.873
Sub-Saharan Africa;128;4.332;0.04934;0.99355;110.464;0.04776;0.49495;0.12474;0.10461;146.181
Southeastern Asia;129;4.307;0.04351;0.27108;0.70905;0.48246;0.44017;0.19034;0.79588;141.805
Central and Eastern Europe;130;4.297;0.04221;0.7419;0.38562;0.72926;0.40577;0.38331;0.05547;159.541
Sub-Saharan Africa;131;4.292;0.0613;0.01604;0.41134;0.22562;0.43054;0.06977;0.33128;280.791
Southern Asia;132;4.271;0.03751;0.83524;101.905;0.70806;0.53726;0.09179;0.40828;0.67108
Sub-Saharan Africa;133;4.252;0.04678;0.4225;0.88767;0.23402;0.49309;0.05786;0.20618;195.071
Central and Eastern Europe;134;4.218;0.04828;101.216;110.614;0.76649;0.30587;0.00872;0.11921;0.89991
Middle East and Northern Africa;135;4.194;0.0326;0.8818;0.747;0.61712;0.17288;0.06324;0.11291;159.927
Middle East and Northern Africa;136;4.077;0.04367;0.54649;0.68093;0.40064;0.35571;0.07854;0.09131;192.313
Sub-Saharan Africa;137;4.033;0.04758;0.75778;0.8604;0.16683;0.10384;0.07122;0.12344;194.939
Sub-Saharan Africa;138;3.995;0.05602;0.26074;103.526;0.20583;0.38857;0.12352;0.18798;179.293
Sub-Saharan Africa;139;3.989;0.06682;0.67866;0.6629;0.31051;0.41466;0.11686;0.12388;168.135
Sub-Saharan Africa;140;3.956;0.04797;0.23906;0.79273;0.36315;0.22917;0.199;0.17441;195.812
Sub-Saharan Africa;141;3.931;0.04317;0.21102;113.299;0.33861;0.45727;0.07267;0.29066;142.766
Sub-Saharan Africa;142;3.904;0.03608;0.36498;0.97619;0.4354;0.36772;0.10713;0.20843;144.395
Sub-Saharan Africa;143;3.896;0.04547;106.024;0.90528;0.43372;0.31914;0.11091;0.06822;0.99895
Sub-Saharan Africa;144;3.845;0.03602;0.0694;0.77265;0.29707;0.47692;0.15639;0.19387;187.877
Southeastern Asia;145;3.819;0.05069;0.46038;0.62736;0.61114;0.66246;0.07247;0.40359;0.98195
Sub-Saharan Africa;146;3.781;0.05061;0.2852;100.268;0.38215;0.32878;0.05747;0.34377;138.079
Sub-Saharan Africa;147;3.681;0.03633;0.20824;0.66801;0.46721;0.19184;0.08124;0.21333;1.851
Sub-Saharan Africa;148;3.678;0.06112;0.0785;0;0.06699;0.48879;0.08289;0.23835;27.223
Sub-Saharan Africa;149;3.667;0.0383;0.34193;0.76062;0.1501;0.23501;0.05269;0.18386;194.296
Sub-Saharan Africa;150;3.656;0.0359;0.17417;0.46475;0.24009;0.37725;0.12139;0.28657;199.172
Sub-Saharan Africa;151;3.655;0.05141;0.46534;0.77115;0.15185;0.46866;0.17922;0.20165;141.723
Sub-Saharan Africa;152;3.587;0.04324;0.25812;0.85188;0.27125;0.39493;0.12832;0.21747;146.494
Southern Asia;153;3.575;0.03084;0.31982;0.30285;0.30335;0.23414;0.09719;0.3651;19.521
Sub-Saharan Africa;154;3.465;0.03464;0.22208;0.7737;0.42864;0.59201;0.55191;0.22628;0.67042
Sub-Saharan Africa;155;3.34;0.03656;0.28665;0.35386;0.3191;0.4845;0.0801;0.1826;163.328
Middle East and Northern Africa;156;3.006;0.05015;0.6632;0.47489;0.72193;0.15684;0.18906;0.47179;0.32858
Sub-Saharan Africa;157;2.905;0.08658;0.0153;0.41587;0.22396;0.1185;0.10062;0.19727;183.302
Sub-Saharan Africa;158;2.839;0.06727;0.20868;0.13995;0.28443;0.36453;0.10731;0.16681;156.726
